Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
GetBookingIds Request,1000,2171,647,3824,"911,61","0,000%","72,42703","4066,52","9,90","57493,9"
GetBookingByIds Request,1000,1144,130,2282,"585,54","0,000%","69,58458","60,71","11,48","893,5"
CreateBooking  Request,1000,1151,137,2269,"536,77","0,000%","62,64879","58,20","28,75","951,3"
UpdateBooking Request,1000,2043,217,3502,"820,47","100,000%","55,88465","42,51","29,52","779,0"
PartialUpdateBooking  Request,1000,2036,246,3556,"703,50","100,000%","53,09547","40,32","28,10","777,6"
DeleteBooking  Request,1000,997,201,2092,"411,30","100,000%","53,21980","40,44","28,22","778,1"
TOTAL,6000,1590,130,3824,"845,03","50,000%","296,55991","2976,87","116,09","10278,9"
